"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 11 21:39:26 MSK 2019","Sun Aug 11 21:39:26 MSK 2019","373","","common.Test1","","common.Test1","PetGetInvalidId400","Pet endpoint GET positive test #4","test checks GET request with invalid id, expected response status code 400 and Invalid ID supplied"
"failed","Sun Aug 11 21:39:34 MSK 2019","Sun Aug 11 21:39:35 MSK 2019","287","","rest.petStoreTests.PetTests.postTests.PetPostNegativeTestWithJsonData","","rest.petStoreTests.PetTests.postTests.PetPostNegativeTestWithJsonData","PetPostNegativeTest","Pet endpoint POST negative test #1","test checks POST request with empty request body, with additional nonexistent field,without required fields, expected result status code 405"
"failed","Sun Aug 11 21:39:51 MSK 2019","Sun Aug 11 21:39:51 MSK 2019","291","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields405","Pet endpoint POST positive test with required fields #14","test checks POST request with headers and required fields  with invalid data, expected response status code 405"
"passed","Sun Aug 11 21:40:02 MSK 2019","Sun Aug 11 21:40:03 MSK 2019","586","","rest.petStoreTests.PetTests.putTests.PetPutPositiveTests","","rest.petStoreTests.PetTests.putTests.PetPutPositiveTests","PetPutPositiveTest200","Pet endpoint PUT positive test #9","test checks PUT request with valid data, expected response status code 200 and well-formed json with test data"
"passed","Sun Aug 11 21:39:57 MSK 2019","Sun Aug 11 21:39:58 MSK 2019","591","","rest.petStoreTests.PetTests.putTests.PetPutPositiveTests","","rest.petStoreTests.PetTests.putTests.PetPutPositiveTests","PetPutPositiveTest200","Pet endpoint PUT positive test #1","test checks PUT request with valid data, expected response status code 200 and well-formed json with test data"
"failed","Sun Aug 11 21:39:41 MSK 2019","Sun Aug 11 21:39:41 MSK 2019","297","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithAllFields","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithAllFields","PetPostPositivePairZeroTests","Pet endpoint POST positive test with all fields #4","test checks POST request with headers and all fields which have pair zero value"
"failed","Sun Aug 11 21:39:35 MSK 2019","Sun Aug 11 21:39:35 MSK 2019","296","","rest.petStoreTests.PetTests.postTests.PetPostNegativeTestWithJsonData","","rest.petStoreTests.PetTests.postTests.PetPostNegativeTestWithJsonData","PetPostNegativeTest","Pet endpoint POST negative test #3","test checks POST request with empty request body, with additional nonexistent field,without required fields, expected result status code 405"
"failed","Sun Aug 11 21:39:57 MSK 2019","Sun Aug 11 21:39:57 MSK 2019","285","","rest.petStoreTests.PetTests.putTests.PetPutPositiveTests","","rest.petStoreTests.PetTests.putTests.PetPutPositiveTests","PetPutInvalidId400","Pet endpoint PUT positive test #7","test checks PUT request with invalid id, expected response status code 400 and Invalid ID supplied"
"passed","Sun Aug 11 21:39:36 MSK 2019","Sun Aug 11 21:39:37 MSK 2019","302","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithAllFields","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithAllFields","PetPostPositiveTestsWithAllFields200","Pet endpoint POST positive test with all fields #3","test checks POST request with headers and all fields which have valid data, expected response status code 200 and well-formed json with test data"
"failed","Sun Aug 11 21:39:50 MSK 2019","Sun Aug 11 21:39:51 MSK 2019","292","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields405","Pet endpoint POST positive test with required fields #13","test checks POST request with headers and required fields  with invalid data, expected response status code 405"
"passed","Sun Aug 11 21:39:45 MSK 2019","Sun Aug 11 21:39:45 MSK 2019","583","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields200","Pet endpoint POST positive test with required fields #7","test checks POST request with headers and required fields which have valid data, expected response status code 200 and well-formed json with test data"
"failed","Sun Aug 11 21:39:35 MSK 2019","Sun Aug 11 21:39:35 MSK 2019","292","","rest.petStoreTests.PetTests.postTests.PetPostNegativeTestWithJsonData","","rest.petStoreTests.PetTests.postTests.PetPostNegativeTestWithJsonData","PetPostNegativeTest","Pet endpoint POST negative test #2","test checks POST request with empty request body, with additional nonexistent field,without required fields, expected result status code 405"
"failed","Sun Aug 11 21:39:47 MSK 2019","Sun Aug 11 21:39:47 MSK 2019","293","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","","rest.petStoreTests.PetTests.postTests.PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields405","Pet endpoint POST positive test with required fields #1","test checks POST request with headers and required fields  with invalid data, expected response status code 405"
